srr	gse	sample_id
SRR15182317	GSE180298	GSM5460406_SRR15182317
SRR15182318	GSE180298	GSM5460407_SRR15182318
SRR15182319	GSE180298	GSM5460408_SRR15182319
SRR15182320	GSE180298	GSM5460409_SRR15182320
SRR15182321	GSE180298	GSM5460410_SRR15182321
SRR15182322	GSE180298	GSM5460411_SRR15182322
SRR15182323	GSE180298	GSM5460412_SRR15182323
SRR15182324	GSE180298	GSM5460413_SRR15182324
SRR23156700	GSE180298	GSM6946065_SRR23156700
SRR23156701	GSE180298	GSM6946066_SRR23156701
SRR23156702	GSE180298	GSM6946067_SRR23156702
SRR23156703	GSE180298	GSM6946068_SRR23156703
